"rank","company","city","state","tier","segment","website","apollo_biz_type","verified_biz_type","verification_status","evidence","recommendation","notes"
"1","Aegis Fire Protection LLC","Overland Park","Kansas","1","Construction","http://www.aegisfirepro.com","Construction","Fire Protection Contractor","DUPLICATE","Already processed in Batch 3 (rank 17).","SKIP","Duplicate of Batch 3 entry."
"2","Terminal Consolidation Company","Kansas City","Missouri","1","Transport/Logistics","http://www.kcpiggy.com","Transport/Logistics","Intermodal Logistics","OPEN","Active site (kcpiggy.com); operating since 1973; largest drayage operation in KC; 100+ power units; phone (816)-453-5101.","REVEAL","KC Piggyback; intermodal drayage/rail/warehousing; 50-year KC operation."
"3","WANO – Japanese Truck Parts","Independence","Missouri","1","Transport/Logistics","http://www.wano.com.au","Transport/Logistics","Truck Parts Supplier","CLOSED","WANO is an Australian company (.com.au) with 15 locations across Australia; no KC/Missouri presence confirmed.","SKIP","Wrong company record — Australian business, not KC-based."
"4","Lexington Plumbing","Kansas City","Missouri","1","Construction","http://www.lexingtonplumbing.com","Construction","Plumbing Contractor","OPEN","BBB profile active; license verified active March 2026 per BuildZoom; 243+ projects; address 1620 Troost Ave KC MO; family-owned since 1945.","REVEAL","3rd-generation family-owned commercial/industrial plumber; KC MO; top 5% MO contractors."
"5","Evan-Talan Homes Inc.","Leawood","Kansas","1","Construction","http://www.evan-talanhomes.com","Construction","Home Builder","OPEN","Active Wix site; address 1920 W 143rd St, Overland Park KS 66224; phone 913-232-5151.","REVEAL","Custom home builder; Overland Park/Leawood KS."
"6","Willis Custom Homes KC","Overland Park","Kansas","1","Construction","http://www.williscustomhomes.com","Construction","Custom Home Builder","OPEN","Active Wix site (Thunderbolt v1.17110.0); functional navigation and services.","REVEAL","Custom home builder; Overland Park KS."
"7","KCBR Design Remodel","Lenexa","Kansas","1","Construction","http://www.kcbathremodel.com","Construction","Remodeling Contractor","OPEN","Active site; last modified March 31 2026; address 8317 Melrose Dr Lenexa KS 66214; phone (913) 717-5872; 1300+ completed projects; 2026 awards.","REVEAL","Family-owned high-end remodeler; Lenexa KS; 1300+ projects; active 2026."
"8","Pfeifer Homes Incorporated","Lee's Summit","Missouri","1","Construction","http://www.pfeiferhomes.com","Construction","Home Builder","OPEN","Active Wix-hosted website with residential home building services; Lee's Summit MO market.","REVEAL","Residential home builder; Lee's Summit MO."
"9","Century Fire Sprinklers Inc.","North Kansas City","Missouri","1","Construction","http://www.centuryfire.com","Construction","Fire Protection Contractor","OPEN","Active site with customer portal; operating since 1981; KC KS and North KC MO offices; Fortune 500 clients.","REVEAL","Full-service fire sprinkler contractor; KC metro; two local offices."
"10","Koch Construction & Remodeling","Olathe","Kansas","1","Construction","http://www.kochconstructionkc.com","Construction","General Contractor","OPEN","Active site; custom home builder and GC; serves full KC metro including Olathe, Overland Park, Lenexa, Shawnee.","REVEAL","Custom home builder and GC; Olathe KS; KC-wide service area."
