company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
Interface Construction Corporation,Berkeley,Missouri,Construction,http://www.interfaceconstruction.com,4.3,HIGH,41,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis commercial contractor; site 200 OK; Berkeley MO HQ.
INDUSTRIAL CONSTRUCTION AND ENGINEERING CO.,St. Peters,Missouri,Construction,http://www.ic-e.net,4.3,HIGH,34,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Peters MO industrial construction & engineering; site 200 OK.
"Ross Construction Group, LLC",Springfield,Missouri,Construction,http://www.rosscgllc.com,4.3,HIGH,35,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Springfield MO commercial general contractor (SWMO/NWA); rebranded site at ross2017.com from rosscgllc.com; site 200 OK.
Doug Bradley Trucking Inc,Salina,Kansas,Transport/Logistics,http://www.dougbradleytrucking.com,4.3,HIGH,27,$40K-$80K+,False,OPEN,KS,MATCH,REVEAL,,Salina KS trucking; site 200 OK.
Direct Freight Services,Chillicothe,Missouri,Transport/Logistics,http://www.directfreight.com,4.3,HIGH,50,$40K-$80K+,False,OPEN,MO,MATCH,SKIP,SAAS_MISCLASSIFICATION,"Chillicothe MO directfreight.com is a SaaS load-board (per BulkLoads batch22 precedent), not a freight carrier. Per Apollo Transport/Logistics tag but SaaS not commercial-auto target. SKIP."
Dino's Logistics,St. Louis,Missouri,Transport/Logistics,http://www.dinoslogistics.com,4.3,HIGH,39,$40K-$80K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO trucking & logistics; site 200 OK.
Day Transfer Co. Inc,Cape Girardeau,Missouri,Transport/Logistics,http://www.daytransferco.com,4.3,HIGH,23,$40K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Cape Girardeau MO moving & storage; site 200 OK.
"DALTON LOGISTICS, INC.",Earth City,Missouri,Transport/Logistics,http://www.daltonlogistics.com,4.3,HIGH,25,$40K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Earth City MO white-glove logistics / blanket-wrap shipping; site 200 OK.
"Burdg, Dunham & Associates Construction",Hamilton,Missouri,Construction,http://www.burdg-dunham.com,4.3,HIGH,44,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Hamilton MO construction GC; site 200 OK.
"Brockmiller Construction, Inc.",Farmington,Missouri,Construction,http://www.brockmillerconstruction.com,4.3,HIGH,20,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Farmington MO commercial contractor; site 200 OK.
