company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
Follow Me Construction & Home Maintenace,Independence,Missouri,Construction,http://www.followmeconstruction.com,4.10,HIGH,15,,True,OPEN,MO,MATCH,REVEAL,,Independence MO GC; site 200 OK. Apollo segment Construction matches.
AAA REMODELING COMPANY,Fenton,Missouri,Construction,http://www.aaaremodeling.com,4.30,HIGH,26,,False,OPEN,MO,MATCH,REVEAL,,Fenton MO STL-metro remodeler; site 200 OK.
"ACI Motor Freight, Inc.",Wichita,Kansas,Transport/Logistics,http://www.acimotorfreight.com,4.30,HIGH,43,,False,OPEN,KS,MATCH,REVEAL,,Wichita KS trucking carrier; site 200 OK.
"AJ Adhesives, Inc.",St. Louis,Missouri,Manufacturing,http://www.ajadhesives.com,4.30,HIGH,36,,False,OPEN,MO,MATCH,REVEAL,,STL adhesives manufacturer; site 200 OK.
"ATR LIGHTING ENTERPRISES, INC.",Richland,Missouri,Manufacturing,http://www.atrlighting.com,4.30,HIGH,22,,False,OPEN,MO,MATCH,REVEAL,,Richland MO lighting master distributor (Apollo Manufacturing tag mild mismatch); active since 1988 per company history. BBB/Yelp/Roll Chamber listings confirm.
Air Capitol Delivery & Warehouse LLC,Wichita,Kansas,Transport/Logistics,http://www.aircapitolservices.com,4.30,HIGH,45,,False,OPEN,KS,MATCH,REVEAL,,Wichita KS trucking/warehousing; site 200 OK.
Air Land & Sea Express,St. Louis,Missouri,Transport/Logistics,http://www.airlandseaexpress.com,4.30,HIGH,26,,False,OPEN,MO,MATCH,REVEAL,,STL freight forwarder; site 200 OK.
"Air Services Heating, Cooling, and All Service Pros",Springfield,Missouri,Construction,http://www.airservicesheatac.com,4.30,HIGH,18,,False,OPEN,MO,MATCH,REVEAL,,Springfield MO HVAC contractor; site 403 (Cloudflare/bot block typical for HVAC sites); Apollo segment matches.
"All Seasons Construction, Inc.",Wichita,Kansas,Construction,http://www.allseasonsconstruction.com,4.30,HIGH,39,,False,OPEN,KS,MATCH,REVEAL,,Wichita KS GC; site 200 OK.
Allen Outdoor Solutions,Saint Louis,Missouri,Construction,http://www.allenoutdoorstl.com,4.30,HIGH,19,,False,OPEN,MO,MATCH,REVEAL,,STL landscape/outdoor living contractor; site 200 OK.
Alpha Zero Global Logistics LLC,St. Louis,Missouri,Transport/Logistics,http://www.azlog.com,4.30,HIGH,24,,False,OPEN,MO,MATCH,REVEAL,,STL freight forwarder; site 403 to bot but azlog.com responds (redirected to alphazerologistics.com).
Altman Charter Company,Ballwin,Missouri,Construction,http://www.altman-charter.com,4.30,HIGH,27,,False,OPEN,MO,MATCH,REVEAL,,Ballwin MO STL-metro construction; site 200 OK.
Anthony Auto,Anthony,Kansas,Transport/Logistics,http://www.anthonyauto.com,4.30,HIGH,1,,False,OPEN,KS,MATCH,MANUAL CHECK,Tiny 1-truck DOT-registered hauler,"Anthony KS small trucking firm (USDOT 1552045, 1 truck/1 driver). Domain NXDOMAIN (no longer hosted) but BBB/QuickTransportSolutions/Yelp listings confirm active. Apollo emp=1 - DM unlikely in Apollo. Manual check before reveal credit spend."
Apollo Express Inc,Bridgeton,Missouri,Transport/Logistics,http://www.apollo-express.com,4.30,HIGH,17,,False,OPEN,MO,MATCH,REVEAL,,Bridgeton MO STL-metro carrier; site 200 OK. Note: not affiliated with Apollo.io.
Atlas Building Group,Saint Charles,Missouri,Construction,http://www.abgbuilds.com,4.30,HIGH,35,,False,OPEN,MO,MATCH,REVEAL,,St. Charles MO GC; site 200 OK.
Auto Motives,Rich Hill,Missouri,Manufacturing,http://www.automotivesnc.com,4.30,HIGH,38,,False,OPEN,MO,MATCH,MANUAL CHECK,Used-car dealer; Apollo Manufacturing tag mismatch; Apollo emp 38 vs directory 1-4,"Rich Hill MO. Public sources (Manta/Yelp/Yellowpages) describe Auto Motives as a used-car dealership at 121 N 14th St with 1-4 staff. Apollo segment 'Manufacturing' is incorrect; emp 38 may also be inflated. Different niche entirely (auto dealer needs dealer F&I, not GL/manufacturing programs)."
Axis Worldwide Supply Chain & Logistics INC. & Axis Worldwide LLC,Wildwood,Missouri,Transport/Logistics,http://www.axiswwsc.com,4.30,HIGH,32,,False,OPEN,MO,MATCH,REVEAL,,Wildwood MO STL-metro freight forwarder; site 200 OK.
BHX Logistics,St. Louis,Missouri,Transport/Logistics,http://www.shipbhx.com,4.30,HIGH,34,,False,OPEN,MO,MATCH,REVEAL,,STL freight broker/3PL; site 200 OK.
BREWER MACHINE & GEAR CO.,St. Louis,Missouri,Manufacturing,http://www.brewertensioner.com,4.30,HIGH,18,,False,OPEN,MO,MATCH,REVEAL,,STL machinery / chain tensioner manufacturer; site 200 OK.
Baker Landscaping,Imperial,Missouri,Construction,http://www.bakerlandscaping.net,4.30,HIGH,31,,False,OPEN,MO,MATCH,REVEAL,,Imperial MO STL-area landscape contractor; site 200 OK.
Bingman Construction Company,St. Louis,Missouri,Construction,http://www.bingmancc.com,4.30,HIGH,37,,False,OPEN,MO,MATCH,REVEAL,,STL GC; site 200 OK.
"Boulder Construction, LLC",Cape Girardeau,Missouri,Construction,http://www.boulderconstructionllc.com,4.30,HIGH,28,,False,OPEN,MO,MATCH,REVEAL,,Cape Girardeau MO GC; site 200 OK. Outside KC/STL metros but valid MO.
"Brahms Construction, LLC",St. Louis,Missouri,Construction,http://www.brahmsconstruction.com,4.30,HIGH,35,,False,OPEN,MO,MATCH,REVEAL,,STL GC; site 200 OK.
Brda Electric,Fenton,Missouri,Construction,http://www.brdaelectric.com,4.30,HIGH,25,,False,OPEN,MO,MATCH,REVEAL,,Fenton MO STL-area electrical contractor; site 200 OK. $78.4M revenue per master CSV - mid-market electrician.
