rank,company,city,state,tier,segment,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
195,"Thrive Homes, LLC",Overland Park,Kansas,Tier 1,Construction,http://www.thrivehomesllc.com,Construction,Accessibility home modifications contractor,OPEN,Active website with current content (Apr 2026); specializes in Medicaid-funded home modifications for disability access; 913 area code confirms KS location.,REVEAL,Niche accessibility contractor — WC + GL + auto potential. Serves disabled/elderly population via Medicaid and VA grants.
196,GBA Builders,Lenexa,Kansas,Tier 1,Construction,http://www.gbabuilders.com,Construction,Commercial GC for regulated industries,OPEN,"Active website at gbateam.com/gba-builders; HQ at 9801 Renner Blvd, Lenexa KS 66219; builds for pharma, federal, healthcare, data centers.",REVEAL,Part of GBA team of companies. President: Joshua Reeves. Larger operation — likely significant premium. Federal/pharma construction = higher GL exposure.
197,Epoxy Coating Specialists,Kansas City,Kansas,Tier 1,Construction,http://www.epoxyspecialists.com,Construction,Industrial epoxy flooring installer,OPEN,"Active website; KC office at 6800 W 47th Terrace, Shawnee KS 66203; second office in Valley Center KS. Serves 6-state region.",REVEAL,Artisan trade — epoxy flooring. Two KS locations. Multi-state work = potential need for out-of-state GL/WC.
198,"Evardy Construction, LLC",Overland Park,Kansas,Tier 1,Construction,http://www.evardyconstruction.com,Construction,Commercial general contractor,OPEN,"Active website; HQ at 7111 W 151st St Suite 375, Overland Park KS 66223; founded 2014; hundreds of commercial projects. Phone: 816.729.5780.",REVEAL,"Commercial GC — ground-up builds, tenant finishes, remodels. Team members Brian Hardy and Chris Evans recognized."
199,"Firelake Construction, Inc.",Lenexa,Kansas,Tier 1,Construction,http://www.firelakeconstruction.com,Construction,General contractor (public + private),OPEN,"Active website; main office at 1011 E. 31st, Lawrence KS; 500+ projects completed; serves government agencies and Fortune 500.",REVEAL,Apollo says Lenexa but website shows Lawrence KS — still in KS territory. Government + Fortune 500 clients = established operation. Sold security division to K Corp.
200,Follow Me Construction & Home Maintenance,Independence,Missouri,Tier 1,Construction,http://www.followmeconstruction.com,Construction,Residential construction & maintenance,OPEN,"Active on Facebook, BBB, BuildZoom, Yelp; located at 14400 E 42nd St, Independence MO 64055; owner Joshua Patterson per ZoomInfo. Website returned 403 but business active on multiple platforms.",REVEAL,Owner: Joshua Patterson. Residential/commercial maintenance for homeowners and landlords. KC metro.
201,221 Construction LLC.,Kearney,Missouri,Tier 1,Construction,http://www.221construction.com,Construction,Residential & commercial GC,OPEN,"Active on BBB, Yelp (updated Feb 2026), Houzz, Angi; 1050 W Innovation Dr, Kearney MO 64060; founded 2009; owner Donald Fotheringhame. Website returned 404 but business active on multiple platforms.",MANUAL CHECK,Owner: Donald Fotheringhame. Website is down (404). GC license #955407 expired 01-12-2026. Active on review sites but license status needs Edward's review.
202,A.L. Huber Construction,Overland Park,Kansas,Tier 1,Construction,http://www.alhuber.com,Construction,Commercial general contractor,OPEN,"Active website; 10770 El Monte St, Overland Park KS 66211; established 1903; ESOP company; commercial projects including offices, financial institutions, warehouses, manufacturing plants.",REVEAL,Est. 1903. ESOP company. Fully commercial since 1960. Likely large premium — 120+ years in business. KCK Chamber member.
203,T-Mac Construction LLC,Kansas City,Missouri,Tier 1,Construction,http://www.t-macconstruction.com,Construction,Commercial & residential contractor,OPEN,"Active website; 1600 E Truman Rd, Kansas City MO 64106; founded 2015; 20 years industry experience; 100+ clients. Phone: 816-997-9090.",REVEAL,"Design-build, CM, GC, renovation, remodeling. Serves KC metro."
204,Dreamscapes Landscaping,Overland Park,Kansas,Tier 1,Construction,http://www.kansas-landscaping.com,Construction,Landscaping design & installation,OPEN,"Active on BBB, Yelp, YellowPages; 7113 W 135th St Pmb 134, Overland Park KS 66223; owner Richard Cagle; 24 years in business. Website shows older copyright (2009-14) but business confirmed active via multiple review platforms.",REVEAL,"Owner: Richard Cagle (K-State landscape degree). Serves Johnson County KS. Hardscaping, waterscapes, drainage — artisan trade exposure."
205,Global Response Team,Kansas City,Kansas,Tier 1,Construction,http://www.globalresponseteam.com,Construction,Commercial restoration & construction,OPEN,"Active on BBB, Alignable, website; 3201 N 7th Street Trafficway, Kansas City KS; founded 2016; $6M revenue; 13 employees. CEO: Chris Hendrickson.",REVEAL,"CEO: Chris Hendrickson. Emergency restoration (fire, water, mold) + construction. 24/7/365 operations. Serves healthcare and hospitality — higher GL exposure."
206,Baron Contracting,Overland Park,Kansas,Tier 1,Construction,http://www.baroncontracting.com,Construction,Commercial GC — tenant improvements,OPEN,"Active on Yelp (updated Mar 2026), Procore, BuildZoom, BBB; 82 Corporate Woods, 10851 Mastin Blvd Suite 130, Overland Park KS 66210; founded 2006. Phone: 913.322.4400.",REVEAL,Specializes in tenant improvement. BuildZoom score 101 (above 88% of KS contractors). 23 permits totaling $6.4M.
207,Olathe Fleet Solutions,Olathe,Kansas,Tier 1,Transport/Logistics,http://www.ofskc.com,Transport/Logistics,Fleet management & vehicle leasing,OPEN,"Active website; 205 S. Fir Street, Olathe KS 66061; authorized Ford dealer for commercial vehicles; fleet leasing, financing, upfitting. Phone: 913-312-0079.",REVEAL,"Fleet management co — leasing, GPS, telematics, upfitting. Part of larger brand family (TracFleets, FleetPool USA, AFI KC). CEO: Jon Warren; CFO: Steve Larson."
208,American Dish Service,Edwardsville,Kansas,Tier 1,Manufacturing,http://www.americandish.com,Manufacturing,Commercial dishwashing equipment manufacturer,OPEN,"Active website, LinkedIn, Facebook; 208,000 sq ft manufacturing facility in Edwardsville KS; 70+ years in business; manufactures all components in-house.",REVEAL,Major manufacturer — 208K sq ft facility. Full manufacturing from raw sheet metal to finished product. National distribution. High property + products liability + WC exposure.
209,Clarke Powered Solutions,Kansas City,Kansas,Tier 1,Manufacturing,http://www.clarkepoweredsolutions.com,Manufacturing,Engine distributor (Perkins authorized),OPEN,"Active website, LinkedIn, YellowPages; HQ at 7030 Kaw Dr, Kansas City KS 66111; founded 1961; 44 locations across 24-state territory.",REVEAL,"Apollo tags as Manufacturing but actually a Perkins engine distributor. 44 locations, 24-state territory = major operation. Still strong commercial insurance prospect (property, auto fleet, GL, WC across multiple states)."
210,Totta Hardwoods,Kansas City,Missouri,Tier 1,Construction,http://www.tottahardwoods.com,Construction,Hardwood flooring contractor,OPEN,"Active website; 5301 Brighton Avenue, Kansas City MO 64130; 20+ years; family-owned; serves KC metro including OP, Lee's Summit, Liberty. Phone: 816-507-5281.",REVEAL,"Family-owned hardwood flooring — installation, refinishing, repair. Artisan trade. 20+ years."
211,"Metro Construction Management, Inc.",Blue Springs,Missouri,Tier 1,Construction,http://www.metro.construction,Construction,Commercial GC — multi-location specialist,OPEN,Active website at metro.construction; Overland Park KS (not Blue Springs MO as Apollo says); multi-location commercial construction across US. Phone: 785.806.7662.,REVEAL,Apollo says Blue Springs MO but website says Overland Park KS — still in territory. Specializes in accelerated multi-location commercial construction. National reach.
212,"RoadRunner DriveAway, LLC",Lee's Summit,Missouri,Tier 1,Transport/Logistics,http://www.roadrunnerdriveaway.com,Transport/Logistics,Vehicle transportation / driveaway service,OPEN,"Active website; 660 SE Bayberry Lane #103, Lee's Summit MO 64063; 30+ years experience; USDOT 1333019; BBB and UTA certified. Phone: 816-525-1812.",REVEAL,Driveaway service — vehicles and equipment transport. USDOT 1333019. 30+ years. Commercial auto + cargo exposure.
213,Mercer Zimmerman,Overland Park,Kansas,Tier 1,Construction,http://www.mzltg.com,Construction,Lighting & controls agency / electrical distributor,OPEN,"Active on LinkedIn, Procore, Facebook; HQ at 8981 Bond St, Overland Park KS 66214; founded 1947; 51-200 employees; offices in KS, MO, NE, IA.",REVEAL,Apollo tags as Construction but actually Midwest lighting/controls agency (manufacturer's rep). 75+ years. Website (mzltg.com) returned connection refused but business confirmed active on LinkedIn/Procore. Recently acquired Built Interior Construction. Multi-state operation.
