rank,company,city,state,tier,segment,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
220,BLUEBIRD CONTRACTING,Olathe,Kansas,Tier 1,Construction,http://www.bluebird-kc.com,Construction,Commercial GC — multifamily & restoration,OPEN,"Active on Facebook, BBB, LinkedIn, BuildZoom; 11511 S Strang Line Rd STE F, Olathe KS 66062; BuildZoom score 102 (top 11% KS); 16 permitted projects in 2 years. Phone: (913) 957-6472.",REVEAL,"Multifamily, commercial TI, healthcare, fire/water restoration. Contact: jwvele@bluebird-kc.com."
221,BLUE RIVER,Overland Park,Kansas,Tier 1,Construction,http://www.blueriverplumbingco.com,Construction,Commercial plumbing & HVAC subcontractor,OPEN,"Active on Yelp, BBB, Procore, LinkedIn; 9125 Barton St, Overland Park KS 66214; est. 2010; 11-50 employees; BuildZoom score 106 (top 7% KS). Phone: (913) 701-6410.",REVEAL,"Commercial plumbing/HVAC for multifamily, hospitality, senior living. Strong subcontractor prospect."
222,Straub Construction,Shawnee,Kansas,Tier 1,Construction,http://www.straubconstruction.com,Construction,Commercial GC — education/healthcare/religious,OPEN,"Active website; 7775 Meadow View Dr, Shawnee KS 66227; founded 1920; 100+ years in business. Phone: 913-451-8828.",REVEAL,"Major commercial GC — education, religious, healthcare, multi-family, workplace. Founded by Ernest J. Straub Sr."
223,StructSure Projects,Kansas City,Missouri,Tier 1,Construction,http://www.structsureprojects.com,Construction,National GC — healthcare/commercial,OPEN,"Active website and LinkedIn; 903 E 104th St Suite 140, Kansas City MO 64131; formerly United Excel Corporation; 1000+ public/private projects.",REVEAL,"Performance-driven national GC. Healthcare, office, public infrastructure. Growing KC presence."
224,Sunflower Industrial,Shawnee,Kansas,Tier 1,Construction,http://www.sunflowerindustrial.com,Construction,Holding company — industrial flooring services,OPEN,"Active website; 6800 W 47th Terrace, Shawnee KS 66203; parent of Desco Floor Systems and Epoxy Coating Specialists. Phone: (913) 362-4141.",REVEAL,"Holding company for industrial flooring. Note: subsidiaries (Desco, Epoxy Coating Specialists) already revealed separately in prior batches. Parent entity may have separate insurance needs."
225,Lippert Mechanical Service,Kansas City,Missouri,Tier 1,Manufacturing,http://www.lippertmechanical.com,Manufacturing,Commercial HVAC & mechanical contractor,OPEN,"Active on Yelp (updated Feb 2026), BuildZoom, LinkedIn; 1600 N Topping Ave, Kansas City MO 64120; founded 1965; serves KC, St. Joseph, Lawrence/Topeka. Phone: (816) 241-4442.",REVEAL,"Apollo tags as Manufacturing but actually commercial HVAC/mechanical contractor. 60+ years in business. WC + GL + commercial auto exposure."
226,New Generation Homes Inc,Gardner,Kansas,Tier 1,Construction,http://www.nghomesllc.com,Construction,Residential construction & remodeling,MISMATCH,"Website shows 17406 Tiller Court Suite 800, Westfield IN 46074; serves suburban Indianapolis (Zionsville, Carmel, Westfield). Phone: 317-896-5501. Not a Kansas company.",SKIP,"WRONG LOCATION — business is in Westfield, Indiana, not Gardner, Kansas. Apollo record is incorrect."
227,Henderson Building Solutions,Lenexa,Kansas,Tier 1,Construction,http://www.hendersonbuilding.com,Construction,CM & commissioning — 100% employee-owned,OPEN,"Active website; 10901 W 84th Terrace Suite 300, Lenexa KS 66214; 15 offices nationwide; part of Henderson Companies (sister: Henderson Engineers); 100% employee-owned. Phone: 913.894.9720.",REVEAL,"Large national firm — CM, design-build, commissioning, energy audits. ESOP company. May already have sophisticated insurance program — still worth outreach."
228,Bear Claw Construction Management LLC,Kansas City,Missouri,Tier 1,Construction,http://www.bearclawheritage.com,Construction,Commercial GC — historical renovation/hospitality,OPEN,"Active on BBB, Houzz, PitchBook, ZoomInfo; 100 E 7th St Ste 201, Kansas City MO 64106; founded 2010; $8.6M revenue (2025); 6 employees; national presence (40+ states). Phone: (816) 659-9115.",REVEAL,"Ingram's Top 100 fastest-growing KC companies (#21 in 2017). Historical renovations, multi-family, hospitality."
229,Owen Homes,Kansas City,Missouri,Tier 1,Construction,http://www.owenhomeskc.com,Construction,Residential design + build,OPEN,"Active website with projects listed through Mar 2025; 201C NE 91st St, Kansas City MO 64155. Phone: 816-343-6065.",REVEAL,"Design+build firm — custom new construction, remodel, exterior projects. KC metro."
