company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
Williams Construction Company,Springfield,Missouri,Construction,http://www.williamsconst.com,4.3,HIGH,45,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Springfield MO design-build GC since 1980; 2146 N Packer Rd Springfield 65803; site 200 OK; Yelp/BBB/LinkedIn corroborate.
Falcon Electric LLC,Springfield,Missouri,Construction,http://www.falconelect.com,4.3,HIGH,22,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Springfield MO electrical contractor 40+ yrs; 4111 E Kearney St 65803; A+ BBB; site 200 OK.
Waterhout Construction Co Inc,St. Louis,Missouri,Construction,http://www.waterhout.com,4.3,HIGH,30,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,"St. Louis MO GC; site 200 OK; title ""Waterhout Construction"" matches Apollo record."
Warrenton Steel -Metal Distributor - Waterjet Cutting,Warrenton,Missouri,Construction,http://www.warrentonsteel.com,4.3,HIGH,20,$20K-$40K,False,OPEN,MO,MATCH,REVEAL,,"Warrenton MO veteran-owned steel supply/fabrication/waterjet; site title ""Veteran-Owned Steel Supply & Fabrication MO""; 200 OK."
"Vogel Sheet Metal & Heating, Inc.",Fenton,Missouri,Construction,http://www.vogelheating.com,4.3,HIGH,45,$20K-$40K,False,OPEN,MO,MATCH,REVEAL,,Fenton MO HVAC/sheet metal; site is Vogel Heating & Cooling (dba); St. Louis MO suburb; 200 OK.
Zickel Flooring,Fenton,Missouri,Construction,http://www.zickel.com,4.3,HIGH,33,$20K-$40K,False,OPEN,MO,MATCH,REVEAL,,Fenton MO commercial flooring contractor since 1949+; serves greater St. Louis & Springfield MO; David Zickel President; 200 OK.
VISION Electric & Systems,O'Fallon,Missouri,Construction,http://www.visionmo.com,4.3,HIGH,42,$20K-$40K,False,OPEN,MO,MATCH,REVEAL,,"O'Fallon MO design-build electrical; portfolio includes Stifel Financial, Topgolf, Cassidy Turley etc.; 200 OK."
"Triumph Construction, LLC",Chesterfield,Missouri,Construction,http://www.triumphstl.com,4.3,HIGH,32,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Chesterfield MO residential remodel/exteriors GC since 2003; 18118 Chesterfield Airport Rd; BBB/Houzz corroborate; 200 OK.
"Tri-State Water, Power & Air",Cape Girardeau,Missouri,Construction,http://www.tristatewhywait.com,4.3,HIGH,40,$20K-$40K,False,OPEN,MO,MATCH,REVEAL,,"Cape Girardeau MO; generators/plumbing/EV charging; site title explicitly ""Cape Girardeau MO""; 200 OK."
Trendsetter Homes LLC,Springfield,Missouri,Construction,http://www.trendsetterhomes.com,4.3,HIGH,27,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Springfield MO home builder (3rd-gen Cantrell); site 403 from server-side bot block but BBB+Houzz+HBA confirm Springfield MO operations; REVEAL via WebSearch fallback per 2026-04-05 batch5 learning.
"Tracy Electric, Inc.",Haysville,Kansas,Construction,http://www.tracyelectricinc.com,4.3,HIGH,39,$20K-$40K,False,OPEN,KS,MATCH,REVEAL,,Haysville KS / Wichita KS area industrial electrical contractor; site 200 OK; control systems/conveyance/processing.
Eagle Specialty Products Inc.,St. Louis,Missouri,Manufacturing,http://www.espinc.us,4.3,HIGH,24,$25K-$60K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO 63120 specialty pigment manufacturer; 1 Lincoln Way; site has explicit address; 200 OK.
Damar Worldwide 4 LLC,Aurora,Missouri,Manufacturing,http://www.damarww.com,4.3,HIGH,28,$25K-$60K+,False,OPEN,MO,MATCH,REVEAL,,Aurora MO 65605 lighting bulb/fixture distributor since 1981; 805 N Carnation Dr; 380K sqft DC; SSL handshake timeout on direct fetch but Yelp/D&B/Manta corroborate; REVEAL via WebSearch fallback.
"D1 Resources, Inc.",Galena,Kansas,Manufacturing,http://www.d1resources.com,4.3,HIGH,23,$25K-$60K+,False,OPEN,KS,MATCH,REVEAL,,"Galena KS industrial machinery & construction; ~22 employees, ~$9.1M rev; site 200 OK (text was minified CSS-heavy on first scrape); LinkedIn/Facebook corroborate."
E.M. Harris Construction Company,Saint Louis,Missouri,Construction,http://www.emharris.com,4.3,HIGH,22,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,"Saint Louis MO general contracting & construction management; in business since 1989; site explicitly ""based in St. Louis, Missouri""; 200 OK."
Dutch Enterprises Inc,Jackson,Missouri,Construction,http://www.dutchenterprises.com,4.3,HIGH,28,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,"Jackson MO HVAC/plumbing/heating; title ""HVAC, Plumbing & Heating in Jackson, MO""; 200 OK."
Dryforce of Missouri,Nixa,Missouri,Construction,http://www.dryforcemissouri.com,4.3,HIGH,2,$20K-$40K,False,OPEN,MO,MATCH,REVEAL,,Nixa MO water/fire/mold restoration; 1262 Kinder St 65714; site root 404 but Facebook+LinkedIn+BBB confirm; REVEAL via WebSearch fallback.
Diversified Electrical Services,Saint Charles,Missouri,Construction,http://www.deslc.com,4.3,HIGH,16,$20K-$40K,False,OPEN,MO,MATCH,REVEAL,,"Saint Charles MO electrical contractor since 2004; site 200 OK; ""located in St. Charles Missouri""."
Centrex Electric Supply Corp.,St. Louis,Missouri,Manufacturing,http://www.centrexelectric.com,4.3,HIGH,4,$25K-$60K+,False,OPEN,MO,MATCH,REVEAL,,St. Louis MO electrical supply distributor since 1978; site 200 OK; serves construction/industrial/commercial/residential markets.
Cain Electric,Gray Summit,Missouri,Manufacturing,http://www.cainelectricstl.com,4.3,HIGH,35,$25K-$60K+,False,OPEN,MO,MATCH,REVEAL,,Gray Summit MO (West County STL) residential/commercial electrician; site title St. Louis area; 200 OK.
Bullet Liner,Maryland Heights,Missouri,Manufacturing,http://www.bulletliner.com,4.3,HIGH,19,$25K-$60K+,False,OPEN,MO,MATCH,SKIP,Subsidiary of Fortune-500 / corporate-level insurance,"Maryland Heights MO 63043 (2500 Adie Rd) but acquired by Accella in 2015 and now part of Carlisle Polyurethane Systems (Carlisle Companies, NYSE:CSL). Per 2026-04-22 / 2026-04-29 large-corp-subsidiary heuristic, P&C insurance is bound at parent corporate level not at this facility - not an SMB target."
Hall Technologies - A Division of Omya,St. Louis,Missouri,Manufacturing,http://www.halltechinc.com,4.3,HIGH,24,$25K-$60K+,False,OPEN,MO,MATCH,SKIP,Subsidiary of multinational Omya / corporate-level insurance,"St. Louis MO (6300 Bartmer Industrial Dr) specialty chemical distributor; acquired by Omya April 2022 and rebranded Omya Specialty Materials Inc. April 2023; 49 employees, $13.4M rev. Same corporate-subsidiary pattern as Bullet Liner - insurance bound at Omya group level."
Dean E. Norris,Wichita,Kansas,Construction,http://www.deanenorris.com,4.3,HIGH,29,$25K-$60K,False,OPEN,KS,MATCH,REVEAL,,"Wichita KS mechanical contracting (HVAC, plumbing, metal fab); site title ""Mechanical Contracting Services | Wichita KS""; 316-688-1901; 200 OK."
Hibbs Luxury Homes,Chesterfield,Missouri,Construction,http://www.hibbshomesusa.com,4.3,HIGH,23,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Chesterfield MO + Park City UT luxury custom home builder; site 200 OK; St Louis MO presence confirmed in title.
Heitkamp Masonry Inc.,Ellisville,Missouri,Construction,http://www.heitkampmasonry.com,4.3,HIGH,25,$20K-$40K,False,OPEN,MO,MATCH,REVEAL,,"Ellisville MO (West County STL) commercial masonry contractor since 1964; 200 OK; ""highest-quality masonry work"" for commercial/retail/industrial/institutional/residential/restoration."
