company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
FIVE STAR MECHANICAL INC,Wichita,Kansas,Construction,http://www.fivestarks.com,4.3,HIGH,120,$30K-$80K+,False,OPEN,KS,MATCH,REVEAL,,Wichita KS commercial HVAC/plumbing/sheet-metal contractor since 2005; 120 employees; Reliable Controls authorized dealer; WIBA + Wichita Chamber active member.
"Heineken Electric Co., Inc.",Beloit,Kansas,Construction,http://www.heinekenelectric.com,4.3,HIGH,30,$25K-$60K,False,OPEN,KS,MATCH,REVEAL,,Beloit KS HQ since 1994; branches in Manhattan/Salina/Beloit; design-build commercial/industrial/agricultural electrical; KS Electrical Contractor Class I license; Kyle L Heineken owner.
"Hedlund Electric, Inc.",McPherson,Kansas,Construction,http://www.hedlundelectricinc.com,4.3,HIGH,40,$25K-$60K,False,OPEN,KS,MATCH,REVEAL,,McPherson KS commercial/industrial electrical since 1951; 75-yr family business 2nd/3rd gen; Terry Hedlund Pres + Jake Hedlund COO; 1201 S Main St; refineries/pipelines/gas facilities focus.
"Citadel Electric Group, Inc.",Oak Grove,Missouri,Construction,http://www.citadelelectric.com,4.3,HIGH,55,$30K-$80K+,True,OPEN,MO,MATCH,REVEAL,,KC-area electrical contractor since 1996; 31710 E Colbern Rd Oak Grove MO; commercial/industrial/federal/mission-critical; project sizes up to $20M+; preferred federal contractor.
"Cissell Mueller Construction, Inc.",St. Peters,Missouri,Construction,http://www.builtbycm.com,4.3,HIGH,30,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,St. Peters MO commercial GC since 1992; 1300+ projects; Bob Cissell EVP + Duane Mueller Pres co-founders; 5530 Salt River Rd; design-build/construction-mgmt/general-contracting.
Chic Lumber,St. Peters,Missouri,Construction,http://www.chicklumber.com,4.3,HIGH,50,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,O'Fallon/St Peters MO lumber yard since 1979; 50+ team members; 2 locations + custom millwork shop; founded by David Hendrix; site domain chiclumber.com (master list typo).
Chesterfield Service Inc.,Chesterfield,Missouri,Construction,http://www.chesterfieldservice.com,4.3,HIGH,40,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Chesterfield MO HVAC/plumbing/electrical/appliance since 1976; licensed/bonded/insured; 245 Chesterfield Industrial Blvd.
"Buchheit Logistics, Inc.",Scott City,Missouri,Transport/Logistics,http://www.buchheitlogistics.com,4.3,HIGH,80,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Scott City MO trucking + warehousing since 1934; end-dump/hopper/dry-van/flatbed fleets; warehouses Sikeston/Morehouse MO + Tamaqua PA; 600 Daugherty St.
"Cardoza Construction, LLC",Nixa,Missouri,Construction,http://www.cardozaconstruction.com,4.3,HIGH,25,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Nixa MO drywall/steel-framing/acoustical-ceiling since ~1995; 30-yr family business; Richard Cardoza owner; 1836 N Deffer Dr; serves SW MO incl Springfield/Branson/Ozark.
COBB CONSTRUCTION,Kirbyville,Missouri,Construction,http://www.builtright.build,4.3,HIGH,28,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Kirbyville MO general/home/heavy-construction; 28 employees; Cecil Cobb CEO; 603 Blackwell Ferry Rd; multi-trade (electrical/plumbing/HVAC/concrete/roofing).
Harold G Butzer Inc,Jefferson City,Missouri,Construction,http://www.hgbutzer.com,4.3,HIGH,55,$30K-$80K+,False,OPEN,MO,MATCH,REVEAL,,Jefferson City MO design-build mechanical contractor since 1926 (3rd-4th gen); 730 Wicker Ln; 5 mechanical engineers + civil/controls; HVAC/sheet-metal/process-piping; central MO market leader.
Shade Construction,Hays,Kansas,Construction,http://www.shadeconstruction.net,4.3,HIGH,25,$25K-$60K,False,OPEN,KS,MATCH,REVEAL,,Hays KS general contractor; 418 E 9th St; on Hays USA licensed contractor list; LinkedIn shows mild Baltimore MD reference (likely separate Shade entity) but local sources confirm Hays KS operation.
"Satterlee Plumbing, Heating and Air Conditioning Company",Joplin,Missouri,Construction,http://www.satterleeplumbing.com,4.3,HIGH,40,$25K-$60K,False,OPEN,MO,MATCH,REVEAL,,Joplin MO plumbing/HVAC/mechanical since 1892 (4th gen); 3423 N Main St Rd; commercial/municipal/industrial + residential; serves Joplin + NW Arkansas.
