company,city,state,segment,website,status,match,location_match,recommendation,notes
"The Wilson Group, Inc.",Kansas City,Missouri,Construction,http://www.thewilsongroupinc.com,OPEN,YES,YES,REVEAL,"KC metro; commercial construction - tenant finishes, multi-family, historical restoration"
"DL Smith Electric, Inc.",Topeka,Kansas,Construction,http://www.dlsmith.com,OPEN,YES,YES,REVEAL,"Electrical contractor since 1972; residential, commercial, construction"
Ellsworth Electric,Ellsworth,Kansas,Manufacturing,http://www.ellsworthelectric.net,OPEN,YES,YES,REVEAL,"Electrical contractor since 1983; design-build; residential, commercial, industrial"
"Tony LaMartina Plumbing Company, Inc.",St. Louis,Missouri,Construction,http://www.tonylamartinaplumbing.com,OPEN,YES,YES,REVEAL,"Family-owned plumbing since 1982; A+ BBB; residential plumbing services"
Tom Madden and Sons Construction,St. Louis,Missouri,Construction,http://www.maddenconstruction.com,OPEN,YES,YES,REVEAL,"Family-owned since 1971; commercial + residential; 6646 Christopher Dr STL"
"Titan Carpentry, LLC",Lake Saint Louis,Missouri,Construction,http://www.titancarp.com,OPEN,YES,YES,REVEAL,"Commercial carpentry contractor; siding, framing, doors, windows; 302 TCW Court"
"Tile and Bath Service, Inc.",Ballwin,Missouri,Construction,http://www.tileandbathservice.com,OPEN,YES,YES,REVEAL,"Bathroom remodel specialist; 47 years in business; 20+ employees; A+ BBB"
Thomas Construction,Osage Beach,Missouri,Construction,http://www.thomasbuilder.com,OPEN,YES,YES,REVEAL,"Founded 1975; residential + commercial; licensed in 18 states; Lake of the Ozarks HQ"
"GILLIAM ELECTRIC, INC",Anderson,Missouri,Construction,http://www.gilliamelectricinc.com,OPEN,NO,NO,SKIP,"Apollo says Anderson MO but company is actually in NW Arkansas (Rogers/Bentonville area)"
Fresh Air Heating and Cooling,Chesterfield,Missouri,Construction,http://www.ineedfreshair.com,OPEN,YES,YES,REVEAL,"HVAC since 1987; family-owned; 612 Spirit Valley East Dr Chesterfield MO"
Freeman Custom Builders,Liberty,Missouri,Construction,http://www.freemancustomhomes.com,OPEN,YES,YES,REVEAL,"Custom home builder; Apollo says Manchester MO but actual address is Liberty/Kearney MO; still MO"
"MR Associates, Inc.",Brentwood,Missouri,Manufacturing,http://www.mrassocinc.com,OPEN,YES,YES,REVEAL,"Manufacturer's representative (not mfg); 2726 S Brentwood Blvd; established local business"
DAX Contracting Solutions,Sunrise Beach,Missouri,Construction,http://www.dax-gs.com,OPEN,YES,YES,REVEAL,"SDVOB; federal/healthcare/industrial construction; 913 area code suggests KS operations too"
Crystal Heating and Cooling,Festus,Missouri,Construction,http://www.crystalheatingandcooling.com,OPEN,YES,YES,REVEAL,"HVAC since 1965; 3 locations (Festus, Farmington, Cape Girardeau); Carrier dealer"
Lee Horneyer Company,Maryland Heights,Missouri,Manufacturing,http://www.horneyer.com,OPEN,YES,YES,REVEAL,"Tool/die/mold distributor; 11537 Adie Rd STL 63043 (Maryland Heights area)"
Johnston Paint & Decorating,Columbia,Missouri,Manufacturing,http://www.johnstonpaint.com,OPEN,YES,YES,REVEAL,"Paint + flooring retail (not mfg); Columbia MO; active e-commerce"
The UP Companies,St. Louis,Missouri,Construction,http://www.theupcompanies.com,OPEN,YES,YES,REVEAL,"General contracting + design; MBE-certified; 314 area code; one of region's largest"
The Harlan Company,St. Louis,Missouri,Construction,http://www.harlanco.net,OPEN,YES,YES,REVEAL,"Construction since 1979; commercial, education, food/bev, residential, municipal"
"Team Perka now TEAM MIRACLE!",Saint Joseph,Missouri,Construction,http://www.teamperka.com,OPEN,YES,YES,REVEAL,"Rebranded to Veritas Systems Construction (veritasbuilt.com); steel/hybrid building; NW MO"
Tba Construction,St. Louis,Missouri,Construction,http://www.tbaconstructionllc.com,OPEN,NO,NO,SKIP,"Apollo says St. Louis MO but company is in Union, South Carolina 29379"
Graf Electric,Wichita,Kansas,Construction,http://www.grafelectric.com,OPEN,YES,YES,REVEAL,"Electrical contractor since 1968; 2445 S Glendale St Wichita KS"
Glenlo Awning and Window Company,Imperial,Missouri,Construction,http://www.glenloawningandwindow.com,OPEN,YES,YES,REVEAL,"Mfg/installer of awnings, patio covers, windows since 1969; Imperial + KC locations"
Glassman Corporation,Hays,Kansas,Construction,http://www.glassmancorp.com,OPEN,YES,YES,REVEAL,"HVAC/plumbing contractor; 900 Commerce Pkwy Hays KS; mechanical contractor"
"TD4 Electrical, LLC",Bridgeton,Missouri,Construction,http://www.td4llc.com,OPEN,YES,YES,REVEAL,"MBE electrical contractor; actual address Earth City MO (near Bridgeton); design-build"
"Superior Waterproofing & Restoration Company, Inc.",St. Louis,Missouri,Construction,http://www.superiorwaterproofing.com,OPEN,YES,YES,REVEAL,"Waterproofing/restoration since 1979; 3001 Washington Ave STL MO"
