company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
Thai Binh,Kansas City,Missouri,Transport/Logistics,http://www.tbl.vn,4.3,HIGH,310,,True,UNVERIFIED,,,SKIP,Apollo geo-misclassification,"tbl.vn is a Vietnam ccTLD; web search returned no US/KC operations. Same pattern as 2026-04-23 generic-name cross-entity merge - this is the Vietnamese Thai Binh Logistics, not a KC MO firm."
Almighty Tow Service LLC,Overland Park,Kansas,Transport/Logistics,http://www.almightytow.com,4.3,HIGH,12,,True,OPEN,KS,MATCH,REVEAL,,Overland Park KS tow service; site 200 OK.
Kansas City Streetcar Authority,Kansas City,Missouri,Transport/Logistics,http://www.kcstreetcar.org,4.3,HIGH,9,,True,OPEN,MO,MATCH,MANUAL CHECK,,KC public benefit corporation operating the streetcar. Government/quasi-public entity may be self-insured or covered by state pool. Edward to evaluate fit.
Your Express Solutions,Kansas City,Missouri,Transport/Logistics,http://www.yourexpresssolutions.com,4.3,HIGH,24,,True,OPEN,MO,MATCH,REVEAL,,KC MO logistics firm; site 200 OK.
"M&J Transportation, Inc.",Kansas City,Missouri,Transport/Logistics,http://www.mjtransportationkc.com,4.3,HIGH,28,,True,OPEN,MO,MATCH,REVEAL,,KC MO trucking; site 200 OK.
Columbia Group,Liberty,Missouri,Transport/Logistics,http://www.columbia-group.com,4.3,HIGH,28,,True,UNVERIFIED,,,MANUAL CHECK,Generic name disambiguation,"Web search returns multiple unrelated Columbia Groups (NJ container svc, government services consultant). Could not pin a Liberty MO 28-emp logistics entity. Edward to verify identity before reveal."
"Infiniti Logistics, Inc.",Overland Park,Kansas,Transport/Logistics,http://www.infinitilogistics.com,4.3,HIGH,21,,True,OPEN,KS,MATCH,REVEAL,,OP KS logistics firm; site 200 OK.
SFE Enterprises,Belton,Missouri,Construction,http://www.sfeenterprises.com,4.3,HIGH,20,,True,OPEN,MO,MATCH,REVEAL,,Belton MO contractor; site 200 OK.
Shaw Supply Company,Kansas City,Missouri,Construction,http://www.shawsupply.com,4.3,HIGH,20,,True,OPEN,MO,MATCH,REVEAL,,"KC MO third-gen family electrical distributor (1066 E 16th St, $4M rev per RocketReach/Yelp); shawsupply.com 404 currently but business is active per BBB/Yelp/Procore."
Home Builders Association of Greater Kansas City,Kansas City,Missouri,Construction,http://www.kchba.org,4.3,HIGH,24,,True,OPEN,MO,MATCH,SKIP,Trade association,Per learning 2026-05-05 trade-association auto-SKIP heuristic (HBA/MCA/SMACNA/ABC/AGC of <region>). Not insurable as a contractor.
Custom Stone Tile,Overland Park,Kansas,Construction,http://www.customstonetile.biz,4.3,HIGH,25,,True,OPEN,KS,MATCH,REVEAL,,OP KS tile/stone fabricator; site 200 OK.
Truman Heritage Habitat for Humanity,Independence,Missouri,Construction,http://www.trumanhabitat.org,4.3,HIGH,41,,True,OPEN,MO,MATCH,REVEAL,,"Independence MO Habitat for Humanity affiliate; 501c3 nonprofit but operates as a GC employing 41 (commercial liability, vehicle fleet, builders risk applicable). Site 200 OK."
