company,city,state,segment,website,overall_score,priority,apollo_emp,est_premium,in_kc_metro,business_status,location_match,identity_match,recommendation,skip_reason,verification_notes
McBee Custom Homes LC,Independence,Missouri,Construction,http://www.mcbeecustomhomes.com,4.6,HIGH,4,$30K-$80K+,True,OPEN,MATCH,MATCH,REVEAL,,Independence MO; Steve McBee owner; Kevin Perrin superintendent; founded 2007; residential builder license active; KCHBA member.
"Mack Colt Homes, Inc.",Overland Park,Kansas,Construction,http://www.mackcolthomes.com,4.6,HIGH,3,$30K-$80K+,True,OPEN,MATCH,MATCH,REVEAL,,Overland Park KS (PO Box 26665); Mack Colt President (KU Civil Engineering); 25+ yrs; HBA/NAHB member; CGB/CGP certifications.
"Transportation Logistics Systems, Inc. (TLSI)",Kansas City,Missouri,Transport/Logistics,http://www.translogsys.com,4.6,HIGH,3,$40K-$80K+,True,OPEN,MATCH,MATCH,REVEAL,,Kansas City MO; founded 1992; 11-50 emp; 3PL/freight management; WBE certified; related brand Cayman Express LLC.
GSC Lighting & Supply,Belton,Missouri,Construction,http://www.gsclighting.com,4.6,HIGH,4,$20K-$40K,True,OPEN,MATCH,MATCH,REVEAL,,Belton MO; founded 1980; commercial/industrial lighting + streetlighting; WMBE certified; MoDOT/KDOT vendor.
"Gary Kerns Homebuilders, LLC",Platte City,Missouri,Construction,http://www.kernshomebuilders.com,4.6,HIGH,5,$30K-$80K+,True,OPEN,MATCH,MATCH,REVEAL,,Platte City MO; family since 1943; Gary Kerns reorganized 2000; KCHBA member; 80+ yrs.
"Homes by Chris, LLC",Liberty,Missouri,Construction,http://www.hbcbuilder.com,4.6,HIGH,4,$30K-$80K+,True,OPEN,MATCH,MATCH,REVEAL,,Liberty MO; Chris & Roy Ragland husband-wife custom builders; founded 2003; 200+ homes; KCHBA member.
KC Water Heaters,Kansas City,Kansas,Construction,http://www.kcwaterheater.com,4.6,HIGH,3,$20K-$40K,True,OPEN,MATCH,MATCH,REVEAL,,Kansas City KS; founded 2013; owner Chase (master plumber MO+KS); small but legitimate plumbing/water heater specialist.
Jason Wright Electric,Lee's Summit,Missouri,Construction,http://www.jasonwrightelectric.com,4.6,HIGH,5,$20K-$40K,True,OPEN,MATCH,MATCH,REVEAL,,Lee's Summit MO; founded 1995; Jason Wright President; residential+commercial electrician; 25+ yrs.
Pech Limousine and Delivery,Kansas City,Missouri,Transport/Logistics,http://www.pechlimo.com,4.5,HIGH,8,$40K-$80K+,True,OPEN,MATCH,MATCH,REVEAL,,Kansas City MO; founded 1997; chauffeured limo (Bentley/Rolls/Lincoln); weddings/corporate/airport; 24-hr ops.
Excellart,Olathe,Kansas,Manufacturing,http://www.excellart.com,4.5,HIGH,14,$25K-$60K+,True,OPEN,MATCH,MATCH,SKIP,large-corp-subsidiary - acquired by Ambrose Packaging,"ACQUIRED by Ambrose Packaging - ""Ambrose acquired Excellart, expanding metals capabilities"". Operations moved to Ambrose HQ in Olathe. Per JED Transportation batch 23 precedent: SKIP large-corp-subsidiary. Per 2026-05-10 mandatory acquisition-check learning."
Vaughan Mechanical Inc,Kansas City,Missouri,Construction,http://www.vm-inc.com,4.5,HIGH,9,$20K-$40K,True,OPEN,MATCH,MATCH,REVEAL,,Kansas City MO; family-operated since 1988; 11-50 emp; mechanical contractor (HVAC/plumbing/process piping); MCAA safety award.
"Deckscapes, Inc.",Lenexa,Kansas,Construction,http://www.deckscapesinc.com,4.5,HIGH,8,$30K-$80K+,True,OPEN,MATCH,MATCH,REVEAL,,Lenexa KS; founded Aug 1995; owner Greg Schmidtberger (PE Architectural Engineering); decks/screen porches/basement; Best of Lenexa award.
Suture Express,Overland Park,Kansas,Transport/Logistics,http://www.sutureexpress.com,4.5,HIGH,15,$10K-$20K,True,OPEN,MATCH,MATCH,SKIP,large-corp-subsidiary - acquired by Medline Industries Nov 2019,ACQUIRED by Medline Industries effective Nov 13 2019 (post Diamond Castle 2010 PE ownership). Per JED Transportation batch 23 precedent: SKIP large-corp-subsidiary. Per 2026-05-10 mandatory acquisition-check learning.
"DESIGN MATERIALS, INC",Kansas City,Kansas,Construction,http://www.dmifloors.com,4.5,HIGH,13,$20K-$40K,True,OPEN,MATCH,MATCH,REVEAL,,Kansas City KS; importer/distributor since 1979; natural fiber carpets/rugs (sisal/seagrass/wool/coir/jute); national distribution.
"DESCO Coatings, Inc.",Olathe,Kansas,Construction,http://www.descocoatings.com,4.5,HIGH,7,$30K-$80K+,True,OPEN,MATCH,MATCH,REVEAL,,Olathe KS; founded 1959; commercial flooring/coatings; terrazzo/epoxy; 2023 NTMA Honor Award for Johnson County Courthouse.
DIAMOND POLISH SOLUTIONS,Overland Park,Kansas,Construction,http://www.diamondpolishsolutions.com,4.5,HIGH,7,$20K-$40K,True,OPEN,MATCH,MATCH,REVEAL,,Overland Park KS; concrete polishing/grinding/epoxy; 6 emp / $9M revenue; service area KS/MO/OK.
Insight Mechanical Contractors,Raytown,Missouri,Manufacturing,http://www.insightmech.com,4.5,HIGH,9,$25K-$60K+,True,OPEN,MATCH,MATCH,REVEAL,,"Raytown MO; founded 2005; ~22 emp / $3.5M revenue; HVAC/plumbing/refrigeration; union-supported; note: ""under new ownership"" - local ownership transition, not corporate acquisition per website language."
J&J Converting Machinery,Grandview,Missouri,Manufacturing,http://www.jjconvertingmachinery.com,4.5,HIGH,10,$25K-$60K+,True,OPEN,MATCH,MATCH,REVEAL,,Grandview MO; founded 2002 by John Dignam + John Migliazzo (both ME); flexographic press rebuilds/converting machinery.
