"rank","company","city","state","tier","segment","website","apollo_biz_type","verified_biz_type","verification_status","evidence","recommendation","notes"
"1","EMCOR Services Fagan","Kansas City","Kansas","1","Construction","http://www.faganco.com","Construction","Mechanical Contractor","OPEN","Active website with current contact (913.621.4444); full service menu displayed.","REVEAL","EMCOR subsidiary; commercial HVAC/plumbing/mechanical; KC metro presence."
"2","Vazquez Commercial Contracting LLC","Kansas City","Missouri","1","Construction","http://www.vazquezcc.com","Construction","General Contractor","OPEN","Website shows 124 employees, 3450+ projects, 5 active IDIQ contracts, $2B active contract value.","REVEAL","Minority-owned GC; federal and commercial projects; 124 staff."
"3","Universal Construction Company, Inc.","Lenexa","Kansas","1","Construction","http://www.universalconstruction.net","Construction","General Contractor","OPEN","Active site; 5th generation family-owned; address 2320 NE Independence Ave Lee's Summit MO 64064; phone 913-342-1150.","REVEAL","5th generation family-owned GC; commercial and industrial construction."
"4","Westhues Electric","Kansas City","Missouri","1","Construction","http://www.westhueselectric.com","Construction","Electrical Contractor","OPEN","Active website with phone (816) 356-5223; recent projects include Kiewit, Boulevard Brewery, Lenexa Civic Center.","REVEAL","Commercial electrical contractor; KC metro; recent high-profile projects."
"5","Bickimer Electric LLC","Overland Park","Kansas","1","Construction","http://www.bickimerelectric.com","Construction","Electrical Contractor","OPEN","BBB accredited since 2023; license active May 2025; actively hiring for new construction projects.","REVEAL","Family-owned residential/commercial electrician; Overland Park/KC area."
"6","Bci Mechanical Inc.","Gardner","Kansas","1","Construction","http://www.bcimechanicalinc.com","Construction","Mechanical Contractor","OPEN","Active website; phone 913-856-6747; email support@bcimechanicalinc.com; functional service divisions listed.","REVEAL","Plumbing and mechanical contractor; Gardner KS; commercial and residential."
"7","Recovery Management Corporation","Independence","Missouri","1","Transport/Logistics","http://www.reccorp.com","Transport/Logistics","Towing & Recovery","OPEN","Active website; phone (816) 350-6100; 524,000 sq ft facility opened October 2023.","REVEAL","Large towing/recovery/storage operation; 524K sqft facility; Independence MO."
"8","ProDispatch","Olathe","Kansas","1","Transport/Logistics","http://www.prodispatch.com","Transport/Logistics","Dispatching/Logistics","OPEN","Active site with contact form and phone (913) 324-7007; functional navigation.","REVEAL","Trucking dispatch and logistics solutions; Olathe KS."
"9","Overland Chauffeured Services","Leawood","Kansas","1","Transport/Logistics","http://www.kclimo.com","Transport/Logistics","Chauffeured Transportation","OPEN","Active site with book now functionality; phones 913.381.3504 and 800.575.4845; current fleet inventory.","REVEAL","Luxury ground transportation; Leawood KS; corporate and event services."
"10","State Tractor Trucking","Shawnee","Kansas","1","Transport/Logistics","http://www.statetractor.com","Transport/Logistics","Trucking","OPEN","Active website; metadata updated November 2024; active contact forms; State Tractor & Equipment branding.","REVEAL","Trucking and equipment services; Shawnee KS."
"11","Arrow Circle Electric","Kansas City","Missouri","1","Construction","http://arrowcircleelectric.com","Construction","Electrical Contractor","OPEN","Active website; professional description as electrical subcontractor working alongside general contractors.","REVEAL","Commercial electrical subcontractor; KC metro."
"12","Arise Homes","Lenexa","Kansas","1","Construction","http://www.arise-homes.com","Construction","Home Builder","OPEN","Active website with home search tool; schema markup dated 2026-03-11.","REVEAL","New home builder; Lenexa KS; active listings in 2026."
"13","Forge Construction, LLC","Kansas City","Missouri","1","Construction","http://www.forgeconstructionkc.com","Construction","General Contractor","OPEN","Active website with structured schema data; functional commercial construction company presence.","REVEAL","Commercial GC; Kansas City MO."
"14","Fogel-Anderson Construction Co.","Kansas City","Missouri","1","Construction","http://www.fogel-anderson.com","Construction","General Contractor","OPEN","Active site with Work With Us CTA; recent project galleries; address 1212 E Eighth St KC MO 64106; phone 816-842-6914.","REVEAL","Commercial GC; Kansas City; established firm with project gallery."
"15","Turner Ceramic Tile","Kansas City","Kansas","1","Construction","http://www.turnerceramictile.com","Construction","Tile Contractor","OPEN","Active site with phone 913-441-6161; KC KS address; Get A Quote CTA; active service offerings.","REVEAL","Commercial tile contractor; KC metro."
"16","Via Courier, Inc.","Kansas City","Kansas","1","Transport/Logistics","http://www.viacourier.com","Transport/Logistics","Courier/Delivery","OPEN","Yelp updated February 2026; address 835 S St Paul St KC KS 66105; phone (913) 831-6300; TSA-IAC certified; banking courier since 1978.","REVEAL","3rd generation family-owned courier; 90+ drivers; KC banking/medical delivery specialist."
"17","Aegis Fire Protection LLC","Overland Park","Kansas","1","Construction","http://www.aegisfirepro.com","Construction","Fire Protection Contractor","OPEN","Active site with two office locations; phones (913) 825-0343 and (417) 772-3200; functional contact form and project portfolio.","REVEAL","Fire sprinkler and alarm contractor; Overland Park KS and Springfield MO."
"18","Acme Floor Co Inc","Shawnee","Kansas","1","Construction","http://www.acmefloorco.com","Construction","Flooring Contractor","OPEN","Active site with project portfolio including Kauffman Center; professional memberships listed; functional contact.","REVEAL","Commercial flooring contractor; Shawnee KS; notable project history."
"19","Mid-America Contractors","North Kansas City","Missouri","1","Construction","http://www.midamericacontractors.com","Construction","General Contractor","OPEN","Active Divi-theme website; schema markup present; commercial and industrial construction services.","REVEAL","Commercial/industrial GC; North Kansas City MO."
"20","All-Pro Renovations LLC","Olathe","Kansas","1","Construction","http://www.all-proserviceskc.com","Construction","Renovation Contractor","OPEN","Active website with blog posts dated March 2026; Schedule Free Estimate CTA; phone (913) 354-2380; Olathe KS address.","REVEAL","Residential/commercial renovation contractor; Olathe KS; active March 2026."
"21","Alexander Mechanical Inc","Kansas City","Missouri","1","Construction","http://www.alexandermechanical.com","Construction","Mechanical Contractor","OPEN","Active Wix-hosted website with functional navigation; service sections and modern design.","REVEAL","Mechanical contractor; Kansas City MO."
"22","Top Notch Heating, Cooling and Plumbing","Lenexa","Kansas","1","Construction","http://www.topnotchheatingandair.com","Construction","HVAC/Plumbing Contractor","OPEN","Active site with phones (913) 535-8002, (816) 379-3832, (785) 330-5657; active service and pricing info.","REVEAL","HVAC and plumbing contractor; Lenexa KS; multi-area coverage."
"23","Jade Mountain","Kansas City","Missouri","1","Construction","http://www.jademountainbuilders.com","Construction","Custom Home Builder","OPEN","Active site; phone 828-216-3948; email hans@jademountainbuilders.com; 2026 copyright; active In the Works gallery.","REVEAL","Custom home builder; KC MO; active projects in 2026."
"24","J.S. Robinson Fine Homes","Lenexa","Kansas","1","Construction","http://www.jsrobinson.com","Construction","Luxury Home Builder","OPEN","Active site; 30+ years experience; new construction luxury homes, custom builds, and villas; KC market.","REVEAL","Luxury home builder; Lenexa KS; 30+ year track record."
"25","Regents Flooring Co., Inc.","Lenexa","Kansas","1","Construction","http://www.regentsflooring.com","Construction","Flooring Contractor","OPEN","Active Wix website with dynamic content loading; current web infrastructure confirmed.","REVEAL","Commercial flooring contractor; Lenexa KS."
